Mile_Category_<X,Cuisine,Restaurant_Name,Distance,On_campus,Gworld,Menu,Hours
1,American,Carvings,0.3,yes,yes,https://www.carvingsdc.com/menu,sun-wed: 8am-12am /Ê thurs: 8am-2am /Ê fri-sat: 8am-3am
1,American,Devon & Blakely,0.2,yes,yes,http://www.devonandblakely.com/wp-content/uploads/2019/12/Devon_Menu_11.19.pdf,mon-fri: 7am-4pm /Ê sat-sun: closed
1,American,Panera Bread,0.2,yes,yes,https://www.panerabread.com/en-us/menu.html,fri-wed: 7am-10pm /Ê thurs: 7am-11:45pm
1,American,McDonalds,0.6,no,no,https://www.mcdonalds.com/us/en-us/full-menu.html,sat-tues: 5am-11pm /Ê wed-fri: 5am-12am
1,American,Shake Shack,0.7,no,no,https://shakeshack.com/home#/11689,sun-thurs: 11am-10pm /Ê fri-sat: 11am-11pm
1,Chinese,Magic Gourd,0.2,yes,yes,https://order.magicgourd528.com/menu,mon-sat: 11am-9pm /Ê sun: closed
1,Chinese,1 Fish 2 Fish,0.4,no,no,https://www.dconefishtwofish.com/menu.aspx,mon-fri: 11am-10:30pm /Ê sat-sun: 12pm-11pm
1,Chinese,City Lights of China,1,no,no,http://citylightsofchinawashington.com/,mon-sun: 11am-9:30pm
1,Chinese,Asia 54,0.8,no,yes,http://www.asia54washington.com/?utm_source=gmb&utm_medium=menu,mon-fri: 11am-10pm /Ê sat: 12-11pm /Ê sun: 12-10pm
1,Chinese,New Dynasty,0.8,no,no,http://www.newdynasty-dc.com/?utm_source=gmb&utm_medium=menu,mon-fri: 11:30am-9:30pm /Ê sat-sun: 12pm-9:30pm
1,Japanese,Toryumon,0.4,no,yes,https://www.toryumonjapanese.com/,mon-fri: 11am-3pm; 5pm-9:30pm /Ê sat-sun: 12-11pm
1,Japanese,Poki DC,0.6,no,no,https://pokidc.com/menu,mon-sat: 11:30am-8:30pm /Ê sun: closed
1,Japanese,Buredo,1,no,yes,https://eatburedo.com/,mon-fri: 10:30am-9pm /Ê sat-sun: 10:30am-7pm
1,Japanese,Asia 54,0.8,no,yes,http://www.asia54washington.com/?utm_source=gmb&utm_medium=menu,mon-fri: 11am-10pm /Ê sat: 12-11pm /Ê sun: 12-10pm
1,Japanese,Umaya DC,1,no,no,https://www.umayadc.com/food-menus/,mon-fri: 11:30am-2:30pm; 4:30pm-10pm /Ê sat-sun: 11:30am-10pm
1,Korean,Poppabox,0.4,yes,yes,http://places.singleplatform.com/poppabox/menu?ref=google,mon-fri: 7am-9pm /Ê sat: 11am-9pm /Ê sun: closed
1,Korean,Capitol Grounds CafŽ,0.7,no,no,http://capitolgroundscafedc.com/,mon-fri: 7am-4pm /Ê sat-sun: closed
1,Korean,Rice Bar 15th St.,1,no,no,http://ricebardc.com/,mon-fri: 10:30am-3pm /Ê sat-sun: closed
1,Italian,Il Canale,0.7,no,no,http://ilcanale.com/our-menu/,mon-thurs: 11am-10:30pm /Ê fri-sat: 11am-11pm /Ê sun: 11am-10pm
1,Italian,Taylor Gourmet,0.5,no,no,http://places.singleplatform.com/taylor-gourmet-6/menu?ref=google,mon-fri: 11am-7pm /Ê sat-sun: closed
